2023-09-07 14:15:24,2023-09-07 14:39:05
28084382,HP 빅터스 16-s0101AX WIN11 32GB램,"SSD 512GB_1,771,840|SSD 1TB_1,793,840|SSD 2TB_1,853,710"
20388689,HP 빅터스 16-s0201AX,"SSD 512GB_1,699,000|SSD 1TB_1,769,000|SSD 2TB_2,056,510|SSD 512GB + SSD 512GB_1,799,000"
21456356,HP 빅터스 16-s0201AX 32GB램,"SSD 512GB_1,778,990|SSD 1TB_1,828,990|SSD 2TB_2,130,190"
20796482,HP 빅터스 16-s0201AX WIN11,"SSD 512GB_1,790,000|SSD 1TB_1,869,000|SSD 2TB_2,076,970"
20797067,HP 빅터스 16-s0201AX WIN11 32GB램,"SSD 512GB_1,949,000|SSD 1TB_2,029,000|SSD 2TB_2,150,650"
20050937,HP 엔비 x360 15-ew0051TU,"SSD 512GB_1,199,000|SSD 1TB_1,348,900|SSD 2TB_1,599,000"
20380508,HP 엘리트북 650 G10 88D09PA 32GB램,"SSD 512GB_1,539,990|SSD 1TB_1,639,990|SSD 2TB_1,739,990"
20419313,HP 오멘 16 슬림 u0037TX,"SSD 1TB_2,499,000|SSD 2TB_2,878,990|SSD 4TB_3,148,990"
20015240,HP 오멘 16 슬림 u0038TX,"SSD 1TB_2,293,800|SSD 2TB_2,578,990"
19501838,HP 오멘 16-n0094AX,"SSD 512GB_1,679,000|SSD 1TB_1,676,740|SSD 2TB_1,853,710|SSD 1TB + SSD 512GB_1,800,000"
20717501,HP 오멘 16-xf0037AX,"SSD 1TB_2,448,990|SSD 1TB + SSD 1TB_2,698,980|SSD 2TB + SSD 2TB_2,740,480|SSD 4TB + SSD 4TB_3,289,020"
21647261,HP 오멘 16-xf0052AX,"SSD 512GB_1,998,990|SSD 1TB_2,069,000|SSD 2TB_2,099,000|SSD 2TB + SSD 2TB_2,298,990|SSD 4TB + SSD 4TB_2,698,990"
18230855,HP 프로북 다나와인증 430 G2,"중고, SSD 128GB_175,000|중고, SSD 256GB_195,990"
20757524,LG전자 2022 그램15(12세대) 15Z90Q-GP50ML,"SSD 256GB_1,232,490|SSD 512GB_1,198,730|SSD 1TB_1,304,440|SSD 256GB + SSD 256GB_1,242,770|SSD 512GB + SSD 256GB_1,283,890|SSD 1TB + SSD 256GB_1,314,730"
18557603,LG전자 2022 그램15(12세대) 15ZD95Q-GX56K,"SSD 256GB_1,111,710|SSD 500GB_1,169,690|SSD 1TB_1,204,990|SSD 2TB_1,289,590|SSD 3TB_1,679,000|SSD 4TB_1,829,000|SSD 8TB_3,326,000|||||||||||||||||"
18631613,LG전자 2022 그램15(12세대) 15ZD95Q-GX56K WIN11,"SSD 256GB_1,131,910|SSD 500GB_1,125,160|SSD 1TB_1,169,810|SSD 2TB_1,264,980|SSD 3TB_1,694,490|SSD 4TB_1,856,000|SSD 8TB_3,480,000|||||||||||||||"
16633142,LG전자 2022 그램16(12세대) 16Z90Q-EA5WK,"SSD 256GB_1,345,950|SSD 512GB_1,405,520|SSD 1TB_1,421,730|SSD 2TB_1,451,350|SSD 3TB_1,656,000|SSD 4TB_1,748,000|SSD 256GB + SSD 256GB_1,401,340||||||"
16981976,LG전자 2022 그램16(12세대) 16ZD90Q-EX56K WIN11,"SSD 256GB_1,421,970|SSD 500GB_1,471,550|SSD 1TB_1,534,000|SSD 2TB_1,594,000|SSD 3TB_1,967,000|SSD 4TB_2,173,000|SSD 8TB_3,689,000|||||||||||||"
18634244,LG전자 2022 그램16(12세대) 16ZD95Q-GX56K WIN11,"SSD 256GB_1,257,600|SSD 500GB_1,318,990|SSD 1TB_1,316,660|SSD 2TB_1,425,170|SSD 3TB_1,743,090|SSD 4TB_1,823,610|SSD 8TB_3,649,000||||||||"
18588392,LG전자 2022 그램17(12세대) 17Z90Q-G.AA5NK,"SSD 512GB_1,571,700|SSD 1TB_1,795,000|SSD 2TB_1,895,000|SSD 250GB + SSD 512GB_1,725,000|SSD 500GB + SSD 512GB_1,750,000|SSD 1TB + SSD 512GB_1,850,000|SSD 2TB + SSD 512GB_1,999,000"
16250183,LG전자 2022 울트라PC 15UD40Q-GX50K WIN10 16GB램,"SSD 256GB_583,600|SSD 500GB_613,600|SSD 1TB_643,600|SSD 2TB_798,000|500GB + SSD 256GB_1,118,000|1TB + SSD 256GB_899,000|2TB + SSD 256GB_1,058,000||||||"
20074139,LG전자 2022 울트라PC 15UD40Q-GX5DK 16GB램,"SSD 256GB_548,970|SSD 500GB_598,900|SSD 1TB_628,890|SSD 2TB_696,980|500GB + SSD 256GB_659,000|1TB + SSD 256GB_669,000|500GB + SSD 512GB_1,150,000|||"
21591164,LG전자 2022 울트라PC 15UD50Q-GX3DK WIN11 16GB램,"SSD 256GB_635,760|SSD 500GB_698,440|SSD 1TB_720,720|SSD 2TB_828,990|1TB + SSD 256GB_974,280|2TB + SSD 256GB_1,006,480"
17403032,LG전자 2022 울트라PC 15UD50Q-GX50K WIN11 16GB램,"SSD 256GB_857,110|SSD 500GB_883,570|SSD 1TB_912,880|SSD 2TB_1,015,270|500GB + SSD 256GB_880,000|1TB + SSD 256GB_1,041,990|2TB + SSD 256GB_1,107,680||||||||||"
28060700,LG전자 2022 울트라기어 17U70Q-PD7DK,SSD 512GB_일시품절
17661314,LG전자 2022 울트라기어 17UD70Q-PX70K WIN11 32GB램,"SSD 256GB_1,987,860|SSD 512GB_1,943,040|SSD 1TB_1,938,470|SSD 2TB_2,086,810|SSD 3TB_2,782,240|SSD 4TB_2,932,240|SSD 8TB_2,890,000|||||||"
18797327,LG전자 2023 그램14 14Z90R-GA50K,"SSD 256GB_1,524,260|SSD 500GB_1,673,080|SSD 1TB_1,737,000|SSD 2TB_1,978,850|SSD 3TB_2,154,470|SSD 4TB_2,334,280|SSD 250GB + SSD 256GB_1,683,120|||"
18797372,LG전자 2023 그램14 14Z90R-GA56K,"SSD 512GB_1,515,240|SSD 1TB_1,640,840|SSD 2TB_1,702,020|SSD 3TB_2,024,000|SSD 4TB_2,174,000|SSD 250GB + SSD 512GB_1,750,000|SSD 500GB + SSD 512GB_1,672,750|||"
18797252,LG전자 2023 그램14 14Z90R-GR5BK,"SSD 256GB_1,498,000|SSD 500GB_1,599,000|SSD 1TB_1,699,000|SSD 2TB_1,776,000|SSD 3TB_1,983,480|SSD 4TB_2,133,950|SSD 8TB_3,638,970|||||"
18799199,LG전자 2023 그램15 15Z90R-GA7CK,"SSD 512GB_1,799,000|SSD 1TB_1,869,000|SSD 2TB_2,098,930|SSD 3TB_2,290,000|SSD 4TB_2,400,000|SSD 256GB + SSD 512GB_2,065,990|SSD 512GB + SSD 512GB_2,097,990||"
20314058,LG전자 2023 그램15 15Z90RT-GA5CK,"SSD 1TB_1,698,990|SSD 2TB_2,218,910|SSD 3TB_2,151,880|SSD 4TB_2,488,910|SSD 250GB + SSD 1TB_2,129,000|SSD 500GB + SSD 1TB_2,179,000|SSD 1TB + SSD 1TB_2,249,000|"
19504553,LG전자 2023 그램15 15Z90RT-GA5HK,"SSD 512GB_1,789,990|SSD 1TB_1,935,000|SSD 2TB_2,078,000|SSD 3TB_2,278,000|SSD 4TB_2,428,000|SSD 250GB + SSD 512GB_1,829,000|SSD 500GB + SSD 512GB_1,869,000||"
20400854,LG전자 2023 그램15 15Z90RT-GA5WK,"SSD 512GB_1,782,000|SSD 1TB_1,850,000|SSD 2TB_2,115,000|SSD 3TB_2,315,000|SSD 4TB_2,465,000|SSD 250GB + SSD 512GB_1,938,000|SSD 500GB + SSD 512GB_1,969,000||"
20314118,LG전자 2023 그램15 15Z90RT-GA7CK,"SSD 1TB_1,949,980|SSD 2TB_2,549,000|SSD 3TB_2,760,000|SSD 4TB_2,899,000|SSD 250GB + SSD 1TB_2,459,700|SSD 500GB + SSD 1TB_2,499,000|SSD 1TB + SSD 1TB_2,579,000|"
19361930,LG전자 2023 그램15 15Z90RT-GAOBK,"SSD 256GB_1,519,000|SSD 500GB_1,569,000|SSD 1TB_1,619,000|SSD 2TB_1,900,000|SSD 3TB_2,100,000|SSD 4TB_2,250,000|SSD 250GB + SSD 256GB_1,727,990|||"
20536571,LG전자 2023 그램15 15Z90RT-GAOWK,"SSD 256GB_1,538,970|SSD 500GB_1,578,970|SSD 1TB_1,618,970|SSD 2TB_1,850,000|SSD 3TB_2,000,000|SSD 4TB_2,100,000|SSD 250GB + SSD 256GB_1,749,900|||"
20539484,LG전자 2023 그램15 15Z90RU-GAOWK,"SSD 256GB_1,300,000|SSD 512GB_1,350,000|SSD 1TB_1,400,000|SSD 2TB_1,800,000|SSD 3TB_2,100,000|SSD 4TB_2,200,000|SSD 256GB + SSD 256GB_1,460,000|||"
18799094,LG전자 2023 그램15 15ZD90R-GX56K,"SSD 256GB_1,355,690|SSD 500GB_1,372,360|SSD 1TB_1,357,870|SSD 2TB_1,446,010|SSD 3TB_1,700,000|SSD 4TB_1,850,000|SSD 8TB_3,468,980|||||||||||"
18877844,LG전자 2023 그램15 15ZD90R-GX56K WIN11,"SSD 256GB_1,368,660|SSD 500GB_1,418,400|SSD 1TB_1,452,270|SSD 2TB_1,480,000|SSD 3TB_1,741,490|SSD 4TB_1,950,000|SSD 8TB_3,638,980||||||||"
19834406,LG전자 2023 그램15 15ZD90RU-GX56K,"SSD 256GB_1,189,000|SSD 512GB_1,218,000|SSD 1TB_1,204,270|SSD 2TB_1,317,990|SSD 3TB_1,690,000|SSD 4TB_1,746,000|SSD 8TB_3,196,000||||||||"
18799616,LG전자 2023 그램16 16Z90R-EA5CK,"SSD 512GB_1,848,990|SSD 1TB_1,918,990|SSD 2TB_2,009,120|SSD 3TB_2,500,000|SSD 4TB_2,600,000|SSD 250GB + SSD 512GB_2,128,000|SSD 500GB + SSD 512GB_1,979,000||||"
18799637,LG전자 2023 그램16 16Z90R-EA7CK,"SSD 512GB_2,128,990|SSD 1TB_2,139,630|SSD 2TB_2,283,600|SSD 3TB_2,700,000|SSD 4TB_2,800,000|SSD 250GB + SSD 512GB_2,349,000|SSD 500GB + SSD 512GB_2,254,320|||"
